"","Player","TotalRuns","Total4s","Total6s","TotalBoundaries","RunsFrom4s","RunsFrom6s","RunsFromBoundaries","PropFrom4s","PropFrom6s","PropFromBoundaries"
"1934","MW Gatting (ENG)",4409,552,11,563,2208,66,2274,0.500793830800635,0.0149693808119755,0.515763211612611
"1935","MW Goodwin (ZIM)",1414,165,5,170,660,30,690,0.466760961810467,0.0212164073550212,0.487977369165488
"1936","MW Priest (NZ)",56,6,0,6,24,0,24,0.428571428571429,0,0.428571428571429
"1937","MW Pringle (SA)",67,5,2,7,20,12,32,0.298507462686567,0.17910447761194,0.477611940298507
"1938","MW Rushmere (SA)",6,0,0,0,0,0,0,0,0,0
"1939","MW Sievers (AUS)",67,3,0,3,12,0,12,0.17910447761194,0,0.17910447761194
"1940","MW Tate (ENG)",1198,84,14,98,336,84,420,0.280467445742905,0.0701168614357262,0.350584307178631
"1941","MWW Selvey (ENG)",15,1,0,1,4,0,4,0.266666666666667,0,0.266666666666667
"1942","N Betancourt (WI)",52,0,0,0,0,0,0,0,0,0
"1943","N Boje (SA)",1312,184,6,190,736,36,772,0.560975609756098,0.0274390243902439,0.588414634146341
"1944","N Chopra (INDIA)",7,0,0,0,0,0,0,0,0,0
"1945","N Deonarine (WI)",725,78,7,85,312,42,354,0.430344827586207,0.0579310344827586,0.488275862068966
"1946","N Dickwella (SL)",1205,136,7,143,544,42,586,0.451452282157676,0.0348547717842324,0.486307053941909
"1947","N Gallichan (NZ)",32,0,0,0,0,0,0,0,0,0
"1948","N Gifford (ENG)",179,16,0,16,64,0,64,0.357541899441341,0,0.357541899441341
"1949","N Gordon (SA)",8,0,0,0,0,0,0,0,0,0
"1950","N Hussain (ENG)",5718,727,24,751,2908,144,3052,0.508569429870584,0.0251836306400839,0.533753060510668
"1951","N Kapil Dev (INDIA)",5294,592,61,653,2368,366,2734,0.447298828862864,0.0691348696637703,0.516433698526634
"1952","N M'shangwe (ZIM)",8,2,0,2,8,0,8,1,0,1
"1953","N Ncube (ZIM)",17,0,1,1,0,6,6,0,0.352941176470588,0.352941176470588
