"","Player","TotalRuns","Total4s","Total6s","TotalBoundaries","RunsFrom4s","RunsFrom6s","RunsFromBoundaries","PropFrom4s","PropFrom6s","PropFromBoundaries"
"370","BK Shepherd (AUS)",502,47,1,48,188,6,194,0.374501992031873,0.0119521912350598,0.386454183266932
"371","BKG Mendis (SL)",2060,257,21,278,1028,126,1154,0.499029126213592,0.0611650485436893,0.560194174757282
"372","BKV Prasad (INDIA)",203,11,0,11,44,0,44,0.216748768472906,0,0.216748768472906
"373","BL Cairns (NZ)",928,80,28,108,320,168,488,0.344827586206897,0.181034482758621,0.525862068965517
"374","BL D'Oliveira (ENG)",2484,298,14,312,1192,84,1276,0.479871175523349,0.0338164251207729,0.513687600644122
"375","BL Irvine (SA)",353,33,6,39,132,36,168,0.373937677053824,0.101983002832861,0.475920679886686
"376","BM Duckett (ENG)",110,13,2,15,52,12,64,0.472727272727273,0.109090909090909,0.581818181818182
"377","BM Laird (AUS)",1341,94,0,94,376,0,376,0.280387770320656,0,0.280387770320656
"378","BM McMillan (SA)",1968,206,11,217,824,66,890,0.41869918699187,0.0335365853658537,0.452235772357724
"379","BN French (ENG)",308,37,1,38,148,6,154,0.480519480519481,0.0194805194805195,0.5
"380","BN Jarman (AUS)",400,40,2,42,160,12,172,0.4,0.03,0.43
"381","BN Schultz (SA)",9,1,0,1,4,0,4,0.444444444444444,0,0.444444444444444
"382","BP Bracewell (NZ)",24,3,0,3,12,0,12,0.5,0,0.5
"383","BP Gupte (INDIA)",28,2,0,2,8,0,8,0.285714285714286,0,0.285714285714286
"384","BP Julian (AUS)",128,14,1,15,56,6,62,0.4375,0.046875,0.484375
"385","BP Martin (NZ)",74,14,0,14,56,0,56,0.756756756756757,0,0.756756756756757
"386","BP Nash (WI)",1103,130,3,133,520,18,538,0.471441523118767,0.0163191296464189,0.487760652765186
"387","BP Patel (INDIA)",972,97,7,104,388,42,430,0.39917695473251,0.0432098765432099,0.44238683127572
"388","BP Patterson (WI)",145,18,0,18,72,0,72,0.496551724137931,0,0.496551724137931
"389","BR Hartland (NZ)",303,35,0,35,140,0,140,0.462046204620462,0,0.462046204620462
"390","BR Jurangpathy (SL)",1,0,0,0,0,0,0,0,0,0
"391","BR Knight (ENG)",812,94,3,97,376,18,394,0.463054187192118,0.0221674876847291,0.485221674876847
"392","BR Taylor (NZ)",898,98,13,111,392,78,470,0.43652561247216,0.0868596881959911,0.523385300668151
"393","BRM Taylor (ZIM)",1594,162,15,177,648,90,738,0.406524466750314,0.0564617314930991,0.462986198243413
"394","BS Bedi (INDIA)",656,51,3,54,204,18,222,0.310975609756098,0.0274390243902439,0.338414634146341
"395","BS Chandrasekhar (INDIA)",167,12,0,12,48,0,48,0.287425149700599,0,0.287425149700599
"396","BS Sandhu (INDIA)",214,17,3,20,68,18,86,0.317757009345794,0.0841121495327103,0.401869158878505
"397","BT Watambwa (ZIM)",11,0,0,0,0,0,0,0,0,0
"398","BV Vitori (ZIM)",52,7,1,8,28,6,34,0.538461538461538,0.115384615384615,0.653846153846154
"399","BW Hilfenhaus (AUS)",355,48,5,53,192,30,222,0.540845070422535,0.0845070422535211,0.625352112676056
"400","BW Luckhurst (ENG)",1298,136,1,137,544,6,550,0.419106317411402,0.00462249614791988,0.423728813559322
"401","BW Sinclair (NZ)",1148,99,0,99,396,0,396,0.344947735191638,0,0.344947735191638
"402","BW Yuile (NZ)",481,36,0,36,144,0,144,0.299376299376299,0,0.299376299376299
"403","C Bannerman (AUS)",239,19,1,20,76,6,82,0.317991631799163,0.0251046025104603,0.343096234309623
"404","C Blythe (ENG)",183,12,0,12,48,0,48,0.262295081967213,0,0.262295081967213
"405","C Burke (NZ)",4,0,0,0,0,0,0,0,0,0
"406","C Cook (ENG)",4,0,0,0,0,0,0,0,0,0
"407","C de Grandhomme (NZ)",537,59,16,75,236,96,332,0.439478584729981,0.17877094972067,0.618249534450652
"408","C Gladwin (ENG)",170,1,2,3,4,12,16,0.0235294117647059,0.0705882352941176,0.0941176470588235
"409","C Hallows (ENG)",42,1,0,1,4,0,4,0.0952380952380952,0,0.0952380952380952
"410","C Heseltine (ENG)",18,0,0,0,0,0,0,0,0,0
"411","C Hill (AUS)",3416,248,1,249,992,6,998,0.2903981264637,0.00175644028103044,0.292154566744731
"412","C Kelleway (AUS)",1418,88,0,88,352,0,352,0.248236953455571,0,0.248236953455571
"413","C Milburn (ENG)",654,91,11,102,364,66,430,0.556574923547401,0.100917431192661,0.657492354740061
"414","C Munro (NZ)",15,3,0,3,12,0,12,0.8,0,0.8
"415","C Newberry (SA)",62,0,0,0,0,0,0,0,0,0
"416","C Overton (ENG)",98,13,1,14,52,6,58,0.530612244897959,0.0612244897959184,0.591836734693878
"417","C Pringle (NZ)",175,23,3,26,92,18,110,0.525714285714286,0.102857142857143,0.628571428571429
"418","C Ramaswami (INDIA)",170,0,1,1,0,6,6,0,0.0352941176470588,0.0352941176470588
"419","C Sharma (INDIA)",396,32,1,33,128,6,134,0.323232323232323,0.0151515151515152,0.338383838383838
"420","C Washbrook (ENG)",2569,160,8,168,640,48,688,0.249124172829895,0.0186843129622421,0.267808485792137
"421","C Wesley (SA)",49,0,0,0,0,0,0,0,0,0
"422","C White (ENG)",1052,119,12,131,476,72,548,0.452471482889734,0.0684410646387833,0.520912547528517
"423","CA Absolom (ENG)",58,5,0,5,20,0,20,0.344827586206897,0,0.344827586206897
"424","CA Best (WI)",342,39,2,41,156,12,168,0.456140350877193,0.0350877192982456,0.491228070175439
"425","CA Davis (WI)",1301,93,1,94,372,6,378,0.285933897002306,0.00461183704842429,0.29054573405073
"426","CA McWatt (WI)",202,0,0,0,0,0,0,0,0,0
"427","CA Merry (WI)",34,0,0,0,0,0,0,0,0,0
"428","CA Milton (ENG)",204,21,1,22,84,6,90,0.411764705882353,0.0294117647058824,0.441176470588235
"429","CA Pujara (INDIA)",4772,567,9,576,2268,54,2322,0.475272422464376,0.0113160100586756,0.486588432523051
"430","CA Roach (WI)",952,69,5,74,276,30,306,0.289915966386555,0.0315126050420168,0.321428571428571
"431","CA Smith (ENG)",3,0,0,0,0,0,0,0,0,0
"432","CA Walsh (WI)",936,77,19,96,308,114,422,0.329059829059829,0.121794871794872,0.450854700854701
"433","CA Wiles (WI)",2,0,0,0,0,0,0,0,0,0
"434","CAG Russell (ENG)",910,50,1,51,200,6,206,0.21978021978022,0.00659340659340659,0.226373626373626
"435","CAK Rajitha (SL)",4,0,0,0,0,0,0,0,0,0
"436","CAK Walton (WI)",13,0,1,1,0,6,6,0,0.461538461538462,0.461538461538462
"437","CAR Duckworth (SA)",28,2,0,2,8,0,8,0.285714285714286,0,0.285714285714286
"438","CB Clarke (WI)",3,0,0,0,0,0,0,0,0,0
"439","CB Fry (ENG)",1223,45,0,45,180,0,180,0.147179067865904,0,0.147179067865904
"440","CB Jennings (AUS)",107,0,0,0,0,0,0,0,0,0
"441","CB Lambert (WI)",284,34,2,36,136,12,148,0.47887323943662,0.0422535211267606,0.52112676056338
"442","CB Llewellyn (SA)",548,11,0,11,44,0,44,0.0802919708029197,0,0.0802919708029197
"443","CB Mpofu (ZIM)",105,7,5,12,28,30,58,0.266666666666667,0.285714285714286,0.552380952380952
"444","CB van Ryneveld (SA)",724,25,0,25,100,0,100,0.138121546961326,0,0.138121546961326
"445","CB Wishart (ZIM)",1098,126,12,138,504,72,576,0.459016393442623,0.0655737704918033,0.524590163934426
"446","CBRLS Kumara (SL)",44,8,0,8,32,0,32,0.727272727272727,0,0.727272727272727
"447","CC Depeiaza (WI)",187,16,0,16,64,0,64,0.342245989304813,0,0.342245989304813
"448","CC Griffith (WI)",530,46,4,50,184,24,208,0.347169811320755,0.0452830188679245,0.392452830188679
"449","CC Hunte (WI)",3245,211,3,214,844,18,862,0.260092449922958,0.00554699537750385,0.265639445300462
"450","CC Lewis (ENG)",1105,137,6,143,548,36,584,0.495927601809955,0.032579185520362,0.528506787330317
"451","CC McDonald (AUS)",3107,166,3,169,664,18,682,0.213710975217251,0.00579336981010621,0.219504345027358
"452","CC Passailaigue (WI)",46,6,0,6,24,0,24,0.521739130434783,0,0.521739130434783
"453","CD Collymore (WI)",197,19,0,19,76,0,76,0.385786802030457,0,0.385786802030457
"454","CD Cumming (NZ)",441,56,2,58,224,12,236,0.507936507936508,0.0272108843537415,0.535147392290249
"455","CD Dixon (SA)",0,0,0,0,0,0,0,NA,NA,NA
"456","CD Gopinath (INDIA)",242,0,0,0,0,0,0,0,0,0
"457","CD Matthews (AUS)",54,7,0,7,28,0,28,0.518518518518518,0,0.518518518518518
"458","CD McMillan (NZ)",3116,367,54,421,1468,324,1792,0.471116816431322,0.10397946084724,0.575096277278562
"459","CD Watson (WI)",12,0,0,0,0,0,0,0,0,0
"460","CDUS Weerasinghe (SL)",3,0,0,0,0,0,0,0,0,0
"461","CE Cuffy (WI)",58,5,0,5,20,0,20,0.344827586206897,0,0.344827586206897
"462","CE Eksteen (SA)",91,6,0,6,24,0,24,0.263736263736264,0,0.263736263736264
"463","CE Finlason (SA)",6,1,0,1,4,0,4,0.666666666666667,0,0.666666666666667
"464","CE Floquet (SA)",12,0,0,0,0,0,0,0,0,0
"465","CE McLeod (AUS)",573,28,0,28,112,0,112,0.195462478184991,0,0.195462478184991
"466","CE Pellew (AUS)",484,50,0,50,200,0,200,0.413223140495868,0,0.413223140495868
"467","CEH Croft (WI)",158,8,1,9,32,6,38,0.20253164556962,0.0379746835443038,0.240506329113924
"468","CEJ Guest (AUS)",11,1,0,1,4,0,4,0.363636363636364,0,0.363636363636364
"469","CEL Ambrose (WI)",1439,172,12,184,688,72,760,0.478109798471161,0.0500347463516331,0.528144544822794
"470","CEL Jones (WI)",63,0,0,0,0,0,0,0,0,0
"471","CEL Stuart (WI)",24,3,0,3,12,0,12,0.5,0,0.5
"472","CEM Wilson (ENG)",42,0,0,0,0,0,0,0,0,0
"473","CEW Silverwood (ENG)",29,3,0,3,12,0,12,0.413793103448276,0,0.413793103448276
"474","CF Walters (ENG)",784,8,0,8,32,0,32,0.0408163265306122,0,0.0408163265306122
"475","CFH Leslie (ENG)",106,6,0,6,24,0,24,0.226415094339623,0,0.226415094339623
"476","CFH Prince (SA)",6,0,0,0,0,0,0,0,0,0
"477","CFK van Wyk (NZ)",341,41,0,41,164,0,164,0.480938416422287,0,0.480938416422287
"478","CFW Allcott (NZ)",113,0,0,0,0,0,0,0,0,0
"479","CFW Hime (SA)",8,0,0,0,0,0,0,0,0,0
"480","CG Borde (INDIA)",3061,295,1,296,1180,6,1186,0.385494936295328,0.00196014374387455,0.387455080039203
"481","CG Butts (WI)",108,10,3,13,40,18,58,0.37037037037037,0.166666666666667,0.537037037037037
"482","CG Fichardt (SA)",15,0,0,0,0,0,0,0,0,0
"483","CG Greenidge (WI)",7604,890,67,957,3560,402,3962,0.468174644923724,0.0528669121514992,0.521041557075224
"484","CG Halse (SA)",30,6,0,6,24,0,24,0.8,0,0.8
"485","CG Macartney (AUS)",2139,199,3,202,796,18,814,0.372136512388967,0.00841514726507714,0.380551659654044
"486","CG Rackemann (AUS)",53,3,0,3,12,0,12,0.226415094339623,0,0.226415094339623
"487","CG Rowe (NZ)",0,0,0,0,0,0,0,NA,NA,NA
"488","CGD Burger (SA)",62,0,1,1,0,6,6,0,0.0967741935483871,0.0967741935483871
"489","CH Gayle (WI)",7214,1046,98,1144,4184,588,4772,0.579983365677849,0.0815081785417244,0.661491544219573
"490","CH Lloyd (WI)",7515,758,70,828,3032,420,3452,0.403459747172322,0.0558882235528942,0.459347970725216
"491","CH Mills (SA)",25,0,0,0,0,0,0,0,0,0
"492","CH Morris (SA)",173,25,0,25,100,0,100,0.578034682080925,0,0.578034682080925
"493","CH Palmer (ENG)",22,0,0,0,0,0,0,0,0,0
"494","CH Parkin (ENG)",152,15,1,16,60,6,66,0.394736842105263,0.0394736842105263,0.434210526315789
"495","CH Vintcent (SA)",26,2,0,2,8,0,8,0.307692307692308,0,0.307692307692308
"496","CI Dunusinghe (SL)",160,15,1,16,60,6,66,0.375,0.0375,0.4125
"497","CIJ Smith (ENG)",102,0,5,5,0,30,30,0,0.294117647058824,0.294117647058824
"498","CJ Adams (ENG)",104,13,0,13,52,0,52,0.5,0,0.5
"499","CJ Anderson (NZ)",683,94,14,108,376,84,460,0.550512445095168,0.12298682284041,0.673499267935578
"500","CJ Barnett (ENG)",1098,88,5,93,352,30,382,0.320582877959927,0.0273224043715847,0.347905282331512
"501","CJ Chibhabha (ZIM)",124,18,0,18,72,0,72,0.580645161290323,0,0.580645161290323
"502","CJ Drum (NZ)",10,1,0,1,4,0,4,0.4,0,0.4
"503","CJ Eady (AUS)",20,0,0,0,0,0,0,0,0,0
"504","CJ Ferguson (AUS)",4,0,0,0,0,0,0,0,0,0
"505","CJ Jordan (ENG)",180,24,1,25,96,6,102,0.533333333333333,0.0333333333333333,0.566666666666667
"506","CJ McDermott (AUS)",940,90,6,96,360,36,396,0.382978723404255,0.0382978723404255,0.421276595744681
"507","CJ McKay (AUS)",10,1,0,1,4,0,4,0.4,0,0.4
"508","CJ Poole (ENG)",161,0,0,0,0,0,0,0,0,0
"509","CJ Richards (ENG)",331,36,0,36,144,0,144,0.435045317220544,0,0.435045317220544
"510","CJ Sayers (AUS)",0,0,0,0,0,0,0,NA,NA,NA
"511","CJ Tavare (ENG)",1755,175,0,175,700,0,700,0.398860398860399,0,0.398860398860399
"512","CJE Smith (SA)",106,0,1,1,0,6,6,0,0.0566037735849057,0.0566037735849057
"513","CJL Rogers (AUS)",2015,268,1,269,1072,6,1078,0.532009925558313,0.00297766749379653,0.534987593052109
"514","CK Coventry (ZIM)",88,14,1,15,56,6,62,0.636363636363636,0.0681818181818182,0.704545454545455
"515","CK Kapugedera (SL)",418,48,7,55,192,42,234,0.45933014354067,0.100478468899522,0.559808612440191
"516","CK Langeveldt (SA)",16,3,0,3,12,0,12,0.75,0,0.75
"517","CK Nayudu (INDIA)",350,0,1,1,0,6,6,0,0.0171428571428571,0.0171428571428571
"518","CK Singh (WI)",11,0,0,0,0,0,0,0,0,0
"519","CKB Kulasekara (SL)",22,2,0,2,8,0,8,0.363636363636364,0,0.363636363636364
"520","CL Badcock (AUS)",160,18,0,18,72,0,72,0.45,0,0.45
"521","CL Cairns (NZ)",3320,365,87,452,1460,522,1982,0.439759036144578,0.157228915662651,0.596987951807229
"522","CL Hooper (WI)",5762,633,63,696,2532,378,2910,0.439430753210691,0.0656022214508851,0.505032974661576
"523","CL Johnson (SA)",10,0,0,0,0,0,0,0,0,0
"524","CL King (WI)",418,48,5,53,192,30,222,0.45933014354067,0.0717703349282297,0.5311004784689
"525","CL McCool (AUS)",459,30,0,30,120,0,120,0.261437908496732,0,0.261437908496732
"526","CL Smith (ENG)",392,44,0,44,176,0,176,0.448979591836735,0,0.448979591836735
"527","CL Townsend (ENG)",51,0,0,0,0,0,0,0,0,0
"528","CL Vincent (SA)",526,20,8,28,80,48,128,0.152091254752852,0.091254752851711,0.243346007604563
"529","CL Walcott (WI)",3798,247,11,258,988,66,1054,0.26013691416535,0.0173775671406003,0.277514481305951
"530","CL White (AUS)",146,15,1,16,60,6,66,0.410958904109589,0.0410958904109589,0.452054794520548
"531","CM Christiani (WI)",98,0,0,0,0,0,0,0,0,0
"532","CM Francois (SA)",252,0,0,0,0,0,0,0,0,0
"533","CM Kuggeleijn (NZ)",7,1,0,1,4,0,4,0.571428571428571,0,0.571428571428571
"534","CM Old (ENG)",845,103,8,111,412,48,460,0.487573964497041,0.0568047337278106,0.544378698224852
"535","CM Spearman (NZ)",922,115,4,119,460,24,484,0.498915401301518,0.0260303687635575,0.524945770065076
"536","CMH Hathorn (SA)",325,22,0,22,88,0,88,0.270769230769231,0,0.270769230769231
"537","CMW Read (ENG)",360,36,4,40,144,24,168,0.4,0.0666666666666667,0.466666666666667
"538","CN Evans (ZIM)",52,8,0,8,32,0,32,0.615384615384615,0,0.615384615384615
"539","CN Frank (SA)",236,20,0,20,80,0,80,0.338983050847458,0,0.338983050847458
"540","CN McCarthy (SA)",28,0,0,0,0,0,0,0,0,0
"541","CO Browne (WI)",387,45,6,51,180,36,216,0.465116279069767,0.0930232558139535,0.558139534883721
"542","COC Pearse (SA)",55,8,0,8,32,0,32,0.581818181818182,0,0.581818181818182
"543","CP Buckenham (ENG)",43,0,0,0,0,0,0,0,0,0
"544","CP Carter (SA)",177,3,1,4,12,6,18,0.0677966101694915,0.0338983050847458,0.101694915254237
"545","CP McGahey (ENG)",38,0,0,0,0,0,0,0,0,0
"546","CP Mead (ENG)",1185,38,0,38,152,0,152,0.128270042194093,0,0.128270042194093
"547","CP Schofield (ENG)",67,8,0,8,32,0,32,0.477611940298507,0,0.477611940298507
"548","CP Senanayake (SL)",97,14,0,14,56,0,56,0.577319587628866,0,0.577319587628866
"549","CPH Ramanayake (SL)",143,13,0,13,52,0,52,0.363636363636364,0,0.363636363636364
"550","CPS Chauhan (INDIA)",2084,205,1,206,820,6,826,0.393474088291747,0.00287907869481766,0.396353166986564
"551","CR Brathwaite (WI)",181,12,7,19,48,42,90,0.265193370165746,0.232044198895028,0.497237569060773
"552","CR Browne (WI)",176,0,2,2,0,12,12,0,0.0681818181818182,0.0681818181818182
"553","CR Ervine (ZIM)",941,113,6,119,452,36,488,0.480340063761955,0.0382571732199787,0.518597236981934
"554","CR Matthews (SA)",348,47,2,49,188,12,200,0.540229885057471,0.0344827586206897,0.574712643678161
